,BC_ID,H_0,H_24,H_48,H_72,H_96,Mut_ID,Strain,Environment
152,1410,-5.430079089,NA,NA,NA,NA,536,DivAnc,SC_3.0
153,1418,-3.898600172,-4.465464724,-4.106077118,-4.465333572,-4.637061778,750,DivAnc,SC_3.0
154,1423,-5.25398783,-5.744218325,-5.858125566,-6.159938771,-6.344631954,546,DivAnc,SC_3.0
155,1427,NA,NA,NA,-6.460968767,NA,993,DivAnc,SC_3.0
156,1447,-5.25398783,-6.142158334,NA,-6.159938771,-5.867510699,988,DivAnc,SC_3.0
157,1451,NA,-6.443188329,-6.159155561,NA,NA,109,DivAnc,SC_3.0
158,1461,NA,NA,-6.159155561,-6.460968767,NA,710,DivAnc,SC_3.0
159,1463,-5.731109084,-6.443188329,-5.858125566,NA,-6.344631954,14,DivAnc,SC_3.0
160,1476,NA,NA,NA,-6.460968767,NA,479,DivAnc,SC_3.0
161,1481,-3.975234229,-3.759241199,-3.803129704,-3.992621436,-3.950180273,804,DivAnc,SC_3.0
162,1508,NA,NA,-5.858125566,NA,NA,804,DivAnc,SC_3.0
163,1510,-3.157077817,-3.11379045,-3.167929486,-3.142905432,-3.234042244,163,DivAnc,SC_3.0
164,1515,-3.056247944,-3.040754983,-3.116973967,-3.103796509,-3.164219321,248,DivAnc,SC_3.0
165,1522,-5.430079089,-6.443188329,-5.858125566,-5.983847512,-6.043601958,90,DivAnc,SC_3.0
166,1539,-2.748837851,-2.776576761,-2.856824633,-2.914426103,-2.978956813,780,DivAnc,SC_3.0
167,1545,-5.430079089,NA,-6.159155561,-5.858908775,-6.344631954,97,DivAnc,SC_3.0
168,1547,-5.430079089,NA,-6.159155561,-6.460968767,NA,254,DivAnc,SC_3.0
169,1603,-5.731109084,NA,-6.159155561,-6.460968767,NA,85,DivAnc,SC_3.0
170,1610,NA,NA,-6.159155561,-6.460968767,-6.344631954,55,DivAnc,SC_3.0
171,1618,-3.108895061,-3.001022244,-2.990363541,-2.927196708,-2.946865698,639,DivAnc,SC_3.0
172,1627,-3.597570176,-3.674550228,-3.92870664,-4.128530307,-4.512123041,192,DivAnc,SC_3.0
173,1629,-5.25398783,-6.443188329,-5.858125566,NA,-6.344631954,1012,DivAnc,SC_3.0
174,1633,-3.748837851,-3.662871017,-3.731020767,-3.638800687,-3.645661949,460,DivAnc,SC_3.0
175,1639,-5.430079089,NA,NA,NA,-6.344631954,755,DivAnc,SC_3.0
176,1648,-3.178440868,-3.05562055,-3.060511836,-3.042004936,-3.013609783,804,DivAnc,SC_3.0
177,1675,NA,-6.443188329,NA,NA,NA,597,DivAnc,SC_3.0
178,1680,-5.731109084,-6.443188329,-6.159155561,NA,NA,853,DivAnc,SC_3.0
179,1701,-5.731109084,NA,NA,-6.460968767,NA,211,DivAnc,SC_3.0
180,1704,NA,-6.443188329,-6.159155561,NA,NA,148,DivAnc,SC_3.0
181,1756,-3.709919785,-3.642471251,-3.701273665,-3.676351474,-3.667938344,769,DivAnc,SC_3.0
182,1809,-5.731109084,-6.443188329,NA,NA,NA,710,DivAnc,SC_3.0
183,1810,NA,NA,NA,NA,-6.344631954,252,DivAnc,SC_3.0
184,1815,-3.203479184,-3.068806631,-3.100350075,-3.14583845,-3.244606224,962,DivAnc,SC_3.0
185,1829,-3.555017825,-3.608132228,-3.695262572,-3.638800687,-3.696271943,570,DivAnc,SC_3.0
186,1852,-3.607257443,-3.742484612,-3.491702608,-3.487840913,-3.699209684,570,DivAnc,SC_3.0
187,1876,NA,NA,NA,-6.460968767,NA,705,DivAnc,SC_3.0
188,1895,-4.107859794,-4.852123722,-4.546371705,-4.969607073,-5.043601958,153,DivAnc,SC_3.0
189,1902,-5.430079089,-5.841128338,-6.159155561,-5.682817516,-6.344631954,421,DivAnc,SC_3.0
190,1915,-5.731109084,NA,-6.159155561,-6.460968767,-6.344631954,993,DivAnc,SC_3.0
191,1916,-5.430079089,NA,NA,-6.460968767,-6.344631954,40,DivAnc,SC_3.0
192,1917,NA,NA,NA,NA,-6.344631954,307,DivAnc,SC_3.0
193,1926,-4.828019097,NA,NA,-6.460968767,NA,544,DivAnc,SC_3.0
194,1927,-3.701725307,-4.371306322,-4.125731806,-4.423542269,-4.545291404,993,DivAnc,SC_3.0
195,1965,-5.03213908,-5.966067075,-6.159155561,-5.858908775,-6.344631954,846,DivAnc,SC_3.0
196,1976,NA,NA,-6.159155561,NA,NA,395,DivAnc,SC_3.0
197,1986,-3.212595145,-3.228344481,-3.51079555,-3.469299759,-3.654435874,133,DivAnc,SC_3.0
198,1998,-5.731109084,NA,-5.858125566,NA,NA,652,DivAnc,SC_3.0
199,2002,NA,NA,-6.159155561,-6.460968767,NA,670,DivAnc,SC_3.0
200,2033,-2.98759932,-2.901484306,-2.883844207,-2.93372565,-2.933517535,47,DivAnc,SC_3.0
201,2034,-4.886011044,-5.48894582,-5.460185557,-5.761998762,-5.566480703,34,DivAnc,SC_3.0
202,2037,NA,NA,-6.159155561,NA,NA,458,DivAnc,SC_3.0
203,2068,-3.828019097,-4.417882464,-4.087273554,-4.501927374,-4.77643023,376,DivAnc,SC_3.0
204,2079,-5.731109084,NA,NA,NA,NA,170,DivAnc,SC_3.0
205,2089,NA,-6.142158334,-5.858125566,-6.159938771,NA,699,DivAnc,SC_3.0
206,2100,-3.213913186,-3.272340126,-3.336987482,-3.273730147,-3.315654249,892,DivAnc,SC_3.0
207,2117,-5.25398783,-6.443188329,-6.159155561,-6.159938771,-5.742571962,866,DivAnc,SC_3.0
208,2136,NA,NA,NA,-6.460968767,NA,715,DivAnc,SC_3.0
209,2146,NA,NA,NA,-6.460968767,NA,239,DivAnc,SC_3.0
210,2155,-4.059011226,-4.610679417,-4.250670542,-4.71278074,-4.839481975,573,DivAnc,SC_3.0
211,2157,-2.420840718,-2.333812298,-2.385954419,-2.402011588,-2.340009688,423,DivAnc,SC_3.0
212,2170,-2.515471521,-2.484242397,-2.487335001,-2.52040248,-2.515972057,423,DivAnc,SC_3.0
213,2174,-3.378926566,-3.591318729,-3.24587166,-3.23851243,-3.287346309,984,DivAnc,SC_3.0
214,2175,-3.421478917,-3.453738512,-3.522667665,-3.614013442,-3.654435874,453,DivAnc,SC_3.0
215,2191,-4.03213908,-4.579865469,-4.320306471,-4.628459854,-4.813153037,924,DivAnc,SC_3.0
216,2203,-5.430079089,-6.443188329,-6.159155561,NA,-5.867510699,846,DivAnc,SC_3.0
217,2204,-5.731109084,NA,-5.858125566,-6.460968767,NA,947,DivAnc,SC_3.0
218,2211,-2.982921057,-2.984852703,-3.073151856,-3.039858637,-3.058624832,826,DivAnc,SC_3.0
219,2213,-5.731109084,NA,NA,NA,NA,705,DivAnc,SC_3.0
220,2227,NA,-5.966067075,-5.858125566,NA,-6.043601958,768,DivAnc,SC_3.0
221,2230,-3.159400253,-3.235553962,-3.267618104,-3.294242711,-3.164506079,1001,DivAnc,SC_3.0
222,2270,-5.731109084,NA,NA,NA,NA,918,DivAnc,SC_3.0
223,2280,-3.321175961,-3.273807834,-3.556011189,-3.446028417,-3.342465892,266,DivAnc,SC_3.0
224,2286,-4.212595145,-4.911709412,-4.579371965,-4.892767043,-5.140511971,772,DivAnc,SC_3.0
225,2290,-5.731109084,-6.142158334,NA,-6.460968767,NA,205,DivAnc,SC_3.0
226,2320,NA,NA,NA,-6.460968767,NA,883,DivAnc,SC_3.0
227,2341,-3.456951235,-3.232602304,-3.148431696,-3.073223107,-3.023447927,363,DivAnc,SC_3.0
228,2342,NA,-6.443188329,NA,NA,NA,333,DivAnc,SC_3.0
229,2349,-2.620856167,-2.568648532,-2.630753123,-2.687036119,-2.679050963,423,DivAnc,SC_3.0
230,2350,NA,NA,-6.159155561,NA,NA,1010,DivAnc,SC_3.0
231,2367,-4.886011044,-6.142158334,-5.858125566,-6.460968767,-6.344631954,657,DivAnc,SC_3.0
232,2387,-3.369381248,-3.218914315,-3.413300366,-3.462273608,-3.432941795,646,DivAnc,SC_3.0
233,2391,-3.165261266,-2.975432278,-3.009320865,-2.966814173,-2.982338016,983,DivAnc,SC_3.0
234,2394,-5.25398783,NA,-6.159155561,-5.858908775,-6.043601958,302,DivAnc,SC_3.0
235,2395,-3.033008539,-2.909289229,-2.858125566,-2.791558899,-2.777135063,660,DivAnc,SC_3.0
236,2397,NA,-6.443188329,NA,NA,NA,449,DivAnc,SC_3.0
237,2403,-4.140044477,-4.863404733,-4.568090954,-4.690116755,-5.065878353,204,DivAnc,SC_3.0
238,2416,-5.731109084,-6.443188329,NA,NA,NA,602,DivAnc,SC_3.0
239,2438,NA,-6.142158334,NA,NA,NA,249,DivAnc,SC_3.0
240,2469,NA,-6.443188329,-6.159155561,-6.159938771,-6.344631954,34,DivAnc,SC_3.0
